file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation
2,0.0,1.1093424036281179,2,-4.250727272727272,-50.36070236363636,0.7425374088987016
1,0.0,1.3226757369614512,1,-4.324931818181818,-53.76293445454546,0.7015385346440021
